GENERO,DESCRICAO
VESTUARIO PARA BEBE,CREMER FRALDA LIRIO EST 65X65 PT/5 CX/12 PT
AGUARDENTE,AGUARDENTE PITU PRATA 350ML
PRODUTO DE LIMPEZA,AMAC SONHO ERVA DOCE 1.5L
CABELO,OLEO CAP VITA CAPILI KARIT 80ML
PRODUTO DESCARTAVEL,FILME P/ALIM 38X1200 OURO FILM
TEMPERO,MAGGI FONDOR TEMPERO 30X120G BR CX
MATERIAL PARA CONSTRUCAO,CER ELIZ 46X46 LISBOA HD A 1,9 M2
PRODUTO FARMACEUTICO,FDA HUGGIES SUP.CARE MENINO JB XXG 16UND
CARNE BOVINA,CARNE BOV BIFE VAZIO FRIBOI KG
LACTICINIO,ACTIVIA AMEIXA 400 LEITE FERM P FTA BJ
GENERICO,GEN CLOBETASOL POM 30G 105 BG
CABELO,LAVIVE SH 250ML REP QUIMI
REFRIGERANTE,SODA LIMONADA ANTARCTICA 2L
MATERIAL PARA CONSTRUCAO,KIT HERC REPOSICAO 1991 12X1 PT
UTENSILIO DE LIMPEZA,ESPONJA DUPLA FACE C/60 3M CX
TIPO DE PRODUTO,WHITE LUB SUP. SINT. AER. 6X300ML
MATERIAL ELETRICO,FITA ISOL 18MMX20M ANTI-CHAMA 2630 TIGRE PC
GENERICO,MELOXICAM 15MG 10CPR (G) NOVA CX
CERVEJA,CERVEJA SKOL LATA UND 1 X 1 473ML
SIMILAR,PHITOSS XAROPE C/100ML (BRAST)
ELETROPORTATEIS,SECADOR TAIFF GLOSS 220V
REFRIGERANTE,0000000564 - FANTA LARANJA NS C24
ACESSORIO PARA BELEZA,CORTADOR UNHA MERHEJE 101
LIVRO,BURITI POR 4 ED3 GUIA E REC
FRUTA,MAMAO PAPAYA
TIPO DE MOVEIS,ESTOFADO DE 3 LUGARES FOX
TIPO DE FERRAMENTA,DISCO DESB 41/2 SDA110/210 STILEX PC
PRODUTO DE LIMPEZA,DETERG. LIQ. YPE MACA 24X500ML CX
PREPARACAO DE CARNE,SALSICHA HOT DOG PERDIGAO 20KG KG
CHINELO,SAND HAVAIANA COLOR BRANCA 39/0 6X1 R001 PT
TINTA PARA TECIDO,CORANTE DE ROUPA PRETO TINGECOR
SUCO,SUCO MAGUARY 500ML MANGA
SIMILAR,EMISTIN CR BIS C/20G CX
SIMILAR,MUSCULARE 10MG 15 COMP 108 CX
ALIMENTO CONDIMENTADO,NESTLE PAPINHA CAR LEG MACARRAO 6X115GBR
CERVEJA,CERV.SCHIN LATAO 473ML
GENERICO,LISINOPRIL 10MG 30CPRS CX
CABELO,GEL FIX NY.LOOKS FORT.FIX RS 240G
REFERENCIA,NIZORAL 20 MG CR C/ 30 G
MACARRAO,MAC NISSIN LAMEN GAL CAIPIRA 85G CX 50
TIPO DE MOVEIS,BALC TRIP 3PTS C/TP BART CARLA IMBUIA/BR 120L PC
ALIMENTO EM CONSERVA,MILHO VERDE BONDUELLE CONG 300G
REFERENCIA,VICK PAST MENT 24X5UN 103 CX
PRODUTO FARMACEUTICO,ALCOOL BRILUX 500ML CX12
TEMPERO,VINAGRE MARATA VINHO TINTO 12X500ML FD
FRUTA,MAMAO HAVA� KG
PRODUTO DE HIGIENE,PAPEL HIG.FLORAL 30M L8P7 NEUTRO
SIMILAR,DORALFLEX (20 X 10 CP)
MAQUINA E EQUIPAMENTO,MAQ CAFE ESPRESSO TRES CORACOES S04 MODO PTO PC
BOTA,BOTA COURO MACHI MATELASSE/MACHI CASSATA INV2015 4007704 CAPODARTE PARES
SIMILAR,NOCICLIN 21CPRS (EMS -) CX
PRODUTO FARMACEUTICO,AMONIACO FRANCY 100ML C/24 . CX
SUCO,SUCO PR JANDAIA POLIFRUT 24X200 CX
CERVEJA,HEINEKEN LATA C12 BJ
BOMBONIERE,COBERTURA MEIO AMARGO 1KG
TEMPERO,NOZ MOSCADA MARATA 8G
LACTICINIO,NESTLE CREME DE LEITE LATA 300G
SIMILAR,PRIMOLUT-NOR 10MG CPD C/30 CX
ACESSORIO DE INFORMATICA,TECLADO USB GOLDENTEC GT07 SLIM
CORPO,CICATRICURE CR CORP 400G ANTIR
UTENSILIO PARA O LAR,PORTA LEITE
UTENSILIO PARA O LAR,TOALHEIRO INTERFOLHADO TRILHA BRANCO TALIMPO
VINHO,VINHO LEON DE TARAPACA CABERNET S 375ML
PRODUTO DE LIMPEZA,DET.PO TIXAN PRIMAVERA S.PLAST. UND 1 X 1 5KG
CERVEJA,CERV SKOL BEATS SENSES LT 269ML CX 8
SIMILAR,SIGMALIV 10 COMP 102 CX
LACTICINIO,QJ MINAS FRESCATINO MINI C/2 130G 1
PRODUTO DE LIMPEZA,DET PO BRILHANTE TOQUE D MACIEZ 1KG 1
REFERENCIA,BENICAR 40MG 30 COMP 104 CX
FERRAGEM,DOB ACO 4 PAR 850 ZC SILVANA PA
CARNE DE AVE ,PCX COXA S/ PELE FRANGO RESF CX15KG KG
BOMBONIERE,NUCITA 48X10GR CROCANTE/FLOCOS CT
PECA INTIMA,CALCINHA BIQUINI NUDE BRANCO EG.EAN :7891306174228
SIMILAR,LIVALO 2MG 30 COMP 101 CX
PECA INTIMA,SUTIA MEIA-TACA UNIVERSAL-TACA A BRANCO 48A.EAN :7899334341766
MATERIAL PARA ESCRITORIO E ESCOLAR,CARNET TILIBRA INSS-GPS 2X12 C/20UN
PRODUTO FARMACEUTICO,SERINGA DESC.10ML C/AG 25X7
PRODUTO DESCARTAVEL,SACO P/ LIXO 200L C/ 100 PRETO RAVA ( 83 X 97 ) FAR
LACTICINIO,CREME RICOTA LIGHT TIROLEZ 250G 1
LACTICINIO,MARG QUALY 500G
TIPO DE FERRAMENTA,ENXADA NORTE 2,5 C/ CABO 150CM TRAMONTINA
CABELO,TIN YAMA FASHION 60G 10.1
BOMBONIERE,DROPS MENTOS STICK YOGURTE 3 101
GENERICO,GEN ACETILCISTEINA XPE ADU 1 FR
PRODUTO FARMACEUTICO,BOLSA TERMICA GEL SANITY 600ML
SIMILAR,HEDRA EXPEC 100ML+COPO MED 105 FR
FRUTA,COCO SECO KG. KG
UTENSILIO PARA BEBE,BICO SUPER SIL C/1 (9297) (LILLO)
SUCO,NECTAR DE MARACUJA JANDAIA 24X200 ML CE-06937 00215-2 CX
UTENSILIO PARA O LAR,GARRAFAO 5L
VERDURA E LEGUME,ABOBORA JAPONESA KG
PRODUTO DESCARTAVEL,COPO MARATA PLASTICO 250ML PCT 1X100UND PC
AGUA,AGUA MINERAL S/GAS INDAIA 6X1.5L FD
TEMPERO,CALDO SMART COSTELA 10X57G PT
CABELO,NEUTROX CC COND 500ML MAR & PI
ELETRODOMESTICO,FG ESMALTEC ESMERALDA 5B 5034 BCO PC
PRODUTO DESCARTAVEL,GUARDANAPO NAPS 22X23 PCT C/50 FACEPA
CARNE BOVINA,FRALDAO BOV. CONG. FRIBOI KG
BOMBONIERE,BALA CHICLE ICE KISS 600G TUTTI PCT
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD MAXIMA C.D. FASH. GIRLS 12X1 4X240FL
UTENSILIO PARA O LAR,PORTA OLEO 45027
MATERIAL PARA ESCRITORIO E ESCOLAR,COLA FORTFIX BRANCA 1KG
MATERIAL PARA CONSTRUCAO,TUBO SOLD 25M AMANCO
PARTE E PECA PARA VEICULO,VELA DE IGNICAO PARA
REFERENCIA,BI-PROFENID 150MG 10CPRS CX
CORPO,CETAPHIL DERMACONTR HID FPS30 118ML
ELETROPORTATEIS,SANDUIC.BRITANIA B.PANE IN.220 CD
VERDURA E LEGUME,CEBOLA IMPORTADA KG
FERRAGEM,CADEADO LT E-20MM
VINHO,VH CHI CASILLERO DIABLO BCO CHAR 750ML
PRODUTO DE LIMPEZA,SABAO B.YPE NEUTRO 50*200GR CX
UTENSILIO PARA O LAR,GFA VIDRO 330ML,AMBAR,TIPO S GP,RETORN
SIMILAR,COLIRIO NEO BRASIL FR C/20 ML
CABELO,ORTOSOL PLUS SHP 120ML
PREPARACAO DE FRUTA,RF.POLPA BRASFRUT GRAVIOLA CONG. PCT 1 X 12 100G
TEMPERO,ALHO TEMPERO DA CASA PICADO 3,5KG
ELETRODOMESTICO,FG BRASTEMP 5B BF275AB BCO ATIVE FLAT TOP PC
LACTICINIO,IOG.POLPA JAGUARIBE BDJ 540G JAGUARIBE
TEMPERO,VINAGRE ALCOOL LORD 12*500ML CX
ACESSORIO MUSICAL,FONE DE OUVIDO
MATERIAL PARA CONSTRUCAO,CAIXA DE POLIETILENO 500 LT C/TAMPA-02010005
MATERIAL PARA ESCRITORIO E ESCOLAR,GIZAO DE CERA ACRILEX TRIANGULAR C/12
MATERIAL PARA CONSTRUCAO,ASSENTO SOFT
VERDURA E LEGUME,BETERRABA CX20 KG
MEDICAMENTO NAO CLASSIFICADO,QUELATUS SENIOR 60 CAPS 102 FR
GENERICO,IBUPRIL- IBUPROFENO 600MG 20CPR (TEUTO) CT
GENERICO,GEN ATORVASTATINA 40MG 30 CO 103 CX
PRODUTO DE CONFEITARIA,CHOCOLATE EM PO 32% 1KG MAVALERIO
CORPO,DA BI-O 48H MASC 150ML MIN POW
CABELO,ALIS CR SFERA PROF 480G FORTE
AGUARDENTE,AGUARDENTE SAPUPARA OURO 960ML
MEDICAMENTO NAO CLASSIFICADO,GOTAS PRECIOSAS 30 ML (HERTZ) FR
MATERIAL PARA CONSTRUCAO,AMANCO - TUBO PN 40 PB IRR DN50 PC
GENERICO,*CEFADROXILA 500MG CPS 1X8 EMS-GENERICO CX
AGUA,AGUA MIN.INDAIA C/GAS 330ML
TIPO DE FERRAMENTA,TRENA DE BOLSO MOD. STARRETT 8M/26 MM/POL
ACUCAR,ACUCAR PROLEV 500G LIGHT - 54888
CERVEJA,CERV.ANTARCTICA LN 355ML(E) CX24
CORPO,SAB AMORAVEL GLICERINACALENDULA100G
ALIMENTO CONDIMENTADO,QA MOSTARDA QUALITA 180G 1
SIMILAR,SOMALIUM 3MG 30CPR B1 ACHE CX
MEDICAMENTO NAO CLASSIFICADO,DEXCLOFENIRAMINA SOL ORAL 120ML - GEN (LEGRA) FR
GENERICO,NIMODIPINO 30MG CPD/30 GN-EMS
ALIMENTO CONDIMENTADO,AZEITE VIRG TRADICIONAL GALLO LT 200ML
PRODUTO DE LIMPEZA,DETERG.LIQ.YPE MACA 500ML CX 24
GENERICO,ACECLOFENACO (CECOFLAN) 100MG 12CPR
FARINHA E AMIDO,FARINHA FIBRA DAGUA 1KG FD 30
FARINHA E AMIDO,FARINHA DE TRIGO D.BENTA ESP.1KG
REFRIGERANTE,REFRIG.PEPSI 2,5L COLA
ALARME,ALARME P/AUTOS
PAO,PAO HOT DOG 400G GIPAN
VERDURA E LEGUME,MACAXEIRA PALITO PC 1KG GRILL FRIOS
SIMILAR,BRASART BCC 3205MG CPD60
RUM,RON BACARDI CARTA BLANCA 980ML
UTENSILIO PARA O LAR,BOTIJAO P13
PRODUTO DESCARTAVEL,COPO 180 ML MARATA PCT C/100
PRODUTO DE HIGIENE,MALVATRIKIDS JUNIOR ANTISEP 101
PRODUTO FARMACEUTICO,FRD CREMER DISNEY PRAT XXG/16 PT
CORPO,SB PARIGGI 90G SEDUCTION DZ
LEITE,LEITE EM PO 200GR ITAMBE
BOMBONIERE,BALA FREEGELLS 584GR. UVA PC
VESTUARIO FEMININO,BODY MANGA LONGA PC
MAQUIAGEM,AC U C BATOM PURO OURO O
OLEO,OLEO SOJA CONCORDIA PET 900ML
PRODUTO DE LIMPEZA,LAVA ROUPAS PO TIXAN 500G PRIMAVERA
PRODUTO DE LIMPEZA,ALCOOL BRILUX ETILICO HID 500ML CX 12
CABELO,CR TRAT TRESEMME BLIND PLATINUM 1KG
CORPO,DES AMORAVEL BEAUTY FRESH AER 90G
SIMILAR,AMILORID CPD/30
PECA INTIMA,BIQUINI EM SENSITIVE E RENDA PRETO M PC
ARROZ,ARROZ TRES MOINHOS 1KG BRANCO
ALIMENTO CONDIMENTADO,TARANTELLA TRAD. TETRA 12X520 CX
CABELO,TINT.KOLESTON CHOC 67
ACUCAR,ACUCAR CONFEITEIRO SNOW SUGAR 1 KG CXA.C/10X1 UND 7896072640199 CXA
GENERICO,CARVEDILOL 12,5MG 30 COMP GEN
CARNE DE PEIXE,ATUM PEDACOS LIGHT COQUEIRO 170G
SIMILAR,SYNTHROID 175MCG CPD C/30 CX
GENERICO,LORATAMED (LORATADINA) 1MG/ML 100ML
PARTE E PECA PARA VEICULO,(C-3410) CONJUNTO DO CILINDRO DE RODA D19,05 MM
TIPO DE SEMENTE,ORIGINAL PIMENTAO YOLO WONDER 7896026211222 CX
ACESSORIO PARA BELEZA,ESC BELLIZ METAL VENT 786 .
SIMILAR,MULTIGRIP DISPLAY C/200 CAPS (50X4) (MULTI) CX
MATERIAL PARA CONSTRUCAO,ARAME FARPADO MOTTO 500MT
MATERIAL PARA ESCRITORIO E ESCOLAR,FOLHA BORRACHA EVA IBEL, 40X48, VERDE FOLHA, A-10
REFRIGERANTE,REFRIG.SPRITE ZERO LT 350ML(E) CX12
REFERENCIA,NOVACORT POM 30G 101 BG
SIMILAR,ALLESTRA 7520MCG 21 COMP 101 CX
CERVEJA,CERV ANTARCTICA SUBZERO LT 350ML CX 12
CABELO,SH.NIELY GOLD 300ML LISO PROLONGADO
GENERICO,AMOXICILINA 500MG CAPS C/15 GN MED+
SIMILAR,BRASART 160MG 30CPR REV EMS CX
ALIMENTO CONDIMENTADO,POMAROLA TRADIC SACHE 24X340G CX
SIMILAR,ANGIOLOT DRG20
PRODUTO DE LIMPEZA,MULTI USO BRILUX TERNURA 12X500 ML CX
PREPARACAO DE CARNE,LINGUICA FRANGO 5 KG AURORA
MATERIAL ELETRICO,REATOR ELETRONICO 2X40W
RUM,RON MONTILLA 960ML LT
CORPO,SAB ALMA FLORES BAUNILHA 130G
PRODUTO DE LIMPEZA,AMAC.FLEUR D YPE 2L CARINHO
PRODUTO DESCARTAVEL,COPOS PLASTICOS CRISTALCOPOS 180ML C 100 UND
CHA,ERVA MATE BARAO COTEGIPE 500G VACUO
REFERENCIA,GALVUS MET 50500MG 56 COMP 102 CX
CARNE DE PEIXE,PEIXE BIQUARA KG
GENERICO,GEN CEFTRIAXONA SOD IM 1G FA 101 CX
REFRIGERANTE,GUARANA ANTARCTICA 600ML
CORPO,SAB.EVEN SUAVE ERVA DOCE/ALECRIM 72X90G CX
ALIMENTO EM CONSERVA,MILHO VERDE LTA 200G
CABELO,SH ELSEVE OLEO EXTRA NUTRICA 101 FR
PRODUTO DE LIMPEZA,LUSTRA MOVEIS PEROBA JASMIM 100ML
GENERICO,SECNIDAZOL 1000MG 2CP (TEUTO)
REFRIGERANTE,REF.ANTARCTICA SODA LIMONADA PET FRC 1 X 1 2L
LACTICINIO,MANTEIGA C/SAL GRAN MESTRI LT 200G
PRODUTO FARMACEUTICO,FRD T.MONICA JUMBO MD/32
CORPO,DES ROL NIVEA FEM.CLEAR SKIN 50ML UN/0001
MACARRAO,MAC.FORTALEZA NINHO SEMOLA UND 1 X 1 500G
VESTUARIO FEMININO,BLUSA BASICA PC
CORPO,SAB GLICERINA E MEL 90G 102
CORPO,LIFEBUOY SAB 12X90G CREAM DZ
DOCE E SOBREMESA,DOCE POLY POTENGI GOIABADA 300G
SIMILAR,CETOCONAZOL (CETOMICOSS) 200MG 10COMP (GLOBO) CX
PRODUTO FARMACEUTICO,SERINGA DESC. 3ML S/AGULHA
CERVEJA,CERVEJA LEOPOLDINA INDIA PALE ALE 500ML
EQUIPAMENTO HOSPITALAR,AP AEROSOL INALAR STAND NS COMPACTO CX
INFORMATICA,FITA ACCU CHECK ACTIVE C/50 TESTE CX
BOMBONIERE,CHOCOLATE PRESTIGIO 30X33G CX
TEMPERO,VIN.MINHOTO ALHO 12X500 ML CX
CABELO,LOURO ESCURO 600 - AMEND SUPER
FOLHETO,(K:10072911)ROTEIRO PARA SESSSDE BELEZA MARY KAY
BOMBONIERE,BALAS DIET GOLD 32G MORANGO CX 6
UTENSILIO PARA O LAR,PAPEIRO AGATH C/BICO BABY BCO N.14 R275
LEITE,LEITE PO ITAMBE PC 25X200 INT FD
MATERIAL PARA CONSTRUCAO,ENGATE PLASTICO 50CM X 1/2 PC
GENERICO,GEN AMOXICILINA+CLAV POT 400 101 FR
OLEO,OLEO DE CANOLA PURILEV 900ML CX20
GENERICO,GEN LORATADINA+PSEUDOEFEDRIN 102 FR
PRODUTO DE LIMPEZA,DESINFETANTE FLORAL 5 LTS
SANDALIA,PAPETE INFANTIL X-GREEN VERMELHO - 09 PR
SIMILAR,CLOB-X GEL 0 05% 30G 103 CX
MATERIAL PARA CONSTRUCAO,AMANCO - JOELHO 45 SOLD 25MM CB PC
AGUA,AGUA MIN.NATUR.ATHLETIC S/GAS 500ML
PRODUTO FARMACEUTICO,HF PALINETE YORK 150UND
PARTE E PECA PARA VEICULO,BUCHA BALAN�A TITAN
CARNE BOVINA,ALCATRA C/MAMINHA FRIBAL - 5 PECAS KG
LEITE,LEITE PO CAMPONESA 800G INTEGRAL CX/12
BISCOITO,BISCOITO CLUB SOCIAL INTEGRA 101
LEITE,LEITE UHT BETANIA DESNATADO 12X1L CX
PRODUTO DE HIGIENE,ENX LISTERINE ZERO 250ML 1
ELETROPORTATEIS,SAND MONDIAL GRILL S07 INOX 220V PC
MACARRAO,NISSIN LAMEN NOSSO SABOR GALINHA CAIPIRA [LNGO] C/ 50X74GR CX
MATERIAL PARA CONSTRUCAO,COLA SUPER BONDER PRECIS 5G 101
REFERENCIA,DAONIL 5MG 30 COMP 104 CX
MEDICAMENTO NAO CLASSIFICADO,VITAGLOS POMADA 45G
ALIMENTO PARA ANIMAL,CEDAN-PAPAGAIO FD 20X500GR
SIMILAR,PHOSFOENEMA 130ML 102 FR
MATERIAL PARA CONSTRUCAO,JOELHO SOLDAVEL 25MM -KRONA.
UTENSILIO DE LIMPEZA,MOP CONDOR ALGODAO R-1550
ALIMENTO EM CONSERVA,ERVILHA QUERO LATA CXA 4 X 6 200G
FARINHA E AMIDO,FAR TRIG ESPE ROSA BRANCA 1K 1
PRODUTO DE CONFEITARIA,PASTA AMERICANA ARCOLOR 800G
GENERICO,GEN CICLOPIROX OLAMINA CRM D 101 BG
LEITE,LEITE MARANGUAPE LONGA VIDA INTEGRAL 1LT
VERDURA E LEGUME,VAGEM ** KG
SIMILAR,MONTELAIR 4MG 30 SACH X 350M 101 CX
SIMILAR,DIVELOL 3,125 CPD/28
REFRIGERANTE,PEPSI TWIST LATA 350ML SH C/12 NPAL
SIMILAR,FISIOTON 400MG 30COMP 101 CX
INFORMATICA,C.T. 670 XL PR CZ117AB HP PC
REFERENCIA,BENALET FRAMBOESA PAST/4
PAO,PAO SIRIO F PROPRIA KG 1
MEDICAMENTO NAO CLASSIFICADO,ACNASE LAPISEIRA SECATIVA 0,3G
MATERIAL ELETRICO,PILHA PANASONIC ALCALINA AA C/ 2
SIMILAR,ENGOV 25 X 6 COMP - OTC 101 CX
FEIJAO,FEIJAO FRUTAS LESSA VERDE 500G
PECA INTIMA,CALCINHA FIO DENTAL BRANCO M.EAN :7899625773665
CARNE SUINA,CAR SU CONG AURORA COSTELA KG KG1
MAQUIAGEM,BASE LIQUIDA VULT 01
PRODUTO DE LIMPEZA,DESINFETANTE GUARANI EUCALIPTO 6X2L CX
ISOTONICO,ISOTONICO GATORADE PET 500ML LIMAO FD6
SIMILAR,KOMBIGLYZE XR 2,5/1000MG CPD/60
ESPECIARIA,AMENDOIM YOKI DESC.SALGADO-1534 UND 1 X 1 500G
MATERIAL PARA CONSTRUCAO,REJUNTE HIPERMASSA CINZA KG
MATERIAL PARA CONSTRUCAO,REGISTRO ESF PVC 50MM SOLD KRONA PC
UTENSILIO PARA O LAR,BOTIJAO VAZIO P13KG
TIPO DE FOSFORO,ISQUEIRO BIC MAXI - 8659901
PRODUTO FARMACEUTICO,ARCHITECT RUBEOLA M REAGENTE 100 TESTES TES
CERVEJA,CERV ANTARCTICA CRISTAL L N 355M CX 24
PRODUTO DESCARTAVEL,GD GRAND HOTEL FAM(33X33)9X50UND PT
CABELO,SH.NIELY GOLD 300ML CONTROLE QUEDA
CABELO,I. ROYAL 7-1 60ML 02/13
GENERICO,GEN ACICLOVIR 50MG/G CREME DERM 10G (NEO Q) CX
MATERIAL PARA CONSTRUCAO,LUVA P/ELETRODUTO ROSC. 3/4 PC
CARNE BOVINA,BIFE DE ALCATRA KG
LACTICINIO,SORVETE FROSTY 1L LIGHT NAPOLITANO
BOMBONIERE,BATON GAROTO PRETO 30UN 16G CX
PRODUTO FARMACEUTICO,LUVA PROCEDIMENTO G C/100 DESCARPACK (DESCA) CX
CERVEJA,CERV ITAIPAVA L NECK 355ML CX 12
MATERIAL PARA CONSTRUCAO,BUCHA RED.SOLD.CURTA 25 X 20MM PC
CORPO,ICE GEL ANALGESICO 240GR (MADRE)
CHINELO,SANDALIA XGREEN CHINELAO PRETO - 01 PR
TEMPERO,SAL ALMIRANTE MOIDO 1KG
ACESSORIO PARA BELEZA,ESC RICCA SALON COLOR 289 META
CABELO,DERCOS SH ANTICASPA SENSIVEL 102 FR
REFERENCIA,VIAGRA 50MG CP/8
PRODUTO DE LIMPEZA,AMAC YPE 2LT INTENSO
MATERIAL PARA CONSTRUCAO,LUVA CORRER TUBO SOLDAVEL 25MM KRONA
LEITE,LEITE PO ITAMBE INTEGRAL SH 400G
BOMBONIERE,DORITOS QUEIJO NACHO 400G
REFERENCIA,SIFROL ER 0375MG CP30 PC1
TEMPERO,COLORIFICO DNA CLARA C/SAL 10X100G KL
MACARRAO,MAC NISSIN LAMEN CALDO FEIJAO 90G CX 50
MATERIAL PARA ESCRITORIO E ESCOLAR,PASTA TRANSPARENTE COM ELASTICO 20MM
SIMILAR,MESIDOX 2MG 30 COMP 102 CX
FRUTA,MACA NACIONAL ** KG
PARTE E PECA PARA VEICULO,FILTRO AR ECOSPORT 1.6/FIESTA SEDAN/HATC PC
MATERIAL PARA CONSTRUCAO,TUBO ESGOTO TIGRE 100MM 6 M
MACARRAO,MAC NISSIN CUP NOODLES 64G GALINHA CAIPIRA CX24
AGUA,AGUA MINERAL PERRIER C/G 330ML
FEIJAO,FEIJAO CARIOCA MESTRE VITO 30X1 TP1 FD
PRODUTO DE CONFEITARIA,RECHEIO LEITE CONDENSADO 4KG FLEISCHMANN
TIPO DE MOVEIS,HOME LINEA BRASIL TURIN CAPUCCINO WOOD/EBANO
CABELO,TINT CORTON LOU CINZA CL 81 50G CX
GENERICO,GEN SILDENAFILA 25MG 4 COMP 107 CX
WHISKY,WHISKY BLACK WHITE 1L(E)
MAQUIAGEM,BATOM VULT 29
BOMBONIERE,PIR. SAMITO FRUTAS -MARCA SAMS- 32X50UND SC
SIMILAR,CALCITRAN D3 30 COMP CX
SIMILAR,PRESSAT 10MG CPD C/30 CX
REFERENCIA,SPIDUFEN 600MG 10 ENV 3G 101 CX
CORPO,SAB JEJ BABY HORA DE BRINCAR 101
REFRIGERANTE,REFRIG.COCA COLA 2L(E)
MATERIAL PARA CONSTRUCAO,CORANTE LIQ BIS50ML HX PT HIDRACOR BI
GENERICO,CITALOPRAM 20MG 28CPRS CX
GENERICO,TINIDAZOL+NIT MICONA CR VAG 45G (G) (GEOLA)
SIMILAR,DEXALGEN SOL. INJ. C/ 6 AMP X 1ML
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD SAO DOMIN 1/4 200F MY FRIEND
CORPO,SB DETTOL BARRA 6X80G SKINCARE PCT
MATERIAL PARA CONSTRUCAO,TUBO PVC ESGOTO PRIM. - 6M - DN 50 BR
MATERIAL PARA CONSTRUCAO,ACABAMENTO P/ REGISTRO 1/2, 3/4 E 1 PQ ASPEN-CROMADO PC
GENERICO,PIROXICAM 20MG 15 CAPS (PRATI)
SIMILAR,COLIRIO NEO BRASIL C/20ML
MATERIAL ELETRICO,PILHA DURACELL QUANTUM AA L4P3
MATERIAL PARA CONSTRUCAO,LUVA SOLDAVEL 25MM ( PLASTUBOS )
SANDALIA,SANDALIA COURO NAPA ORTOPE 20/32 2154002
GENERICO,GEN ALGESTONA+ESTRADIOL INJ 103 CX
SIMILAR,NOCTIDEN 10MG CP/20 P/B1
LIVRO,DE OLHOS BEM ABERTOS
SIMILAR,AEROLIN 2MG 20CPR GSK CX
PRODUTO DE LIMPEZA,YPE ACONCHEGO 5LT
SIMILAR,IPSILON 36 COMP 101 CX
GENERICO,IBUPROFENO PED LAR C/100ML ( IBUPROTRAT ) (NATUL) CX
LACTICINIO,IOG DESN DANONE 170G
REFRIGERANTE,REFRIG.SCHIN 250ML LIMAO
TIPO DE GRAO,POPCORN MICRO YOKI COB CAR 160G 1
SIMILAR,SAL FRUTA ENO LARANJA 60 ENV 104 CX
SIMILAR,CALOTRAT SOL 5ML 101 FR
ELETRODOMESTICO,FOGAO CARIBE 4046 BRANCO ESMALTEC
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA 0.7 ESC. FINA AZUL COMPACTOR
REFRIGERANTE,COCA COLA PET 1,5LT
VERDURA E LEGUME,COUVE BROCOLIS KG
TIPO DE PRODUTO,AGUARRAS 0,9 LT
FEIJAO,FEIJAO DE CORDA TIPO 1 KG
REFERENCIA,PURAN T4 200MCG 28 COMP 104 CX
MATERIAL PARA CONSTRUCAO,LATEX INT GEOCOR 3,6 L BRANCO NEVE GL
MATERIAL PARA CONSTRUCAO,TE ESGOTO 50MM PLASTILIT/KRONA
CERVEJA,CERVEJA BOHEMIA L.NECK CXT 1 X 6 355ML
MATERIAL PARA CONSTRUCAO,HIDRACOR TEXTURAX RUSTICA BRANCO 27KG
CORPO,VEET FOR MEN CREME 180ML 102 FR
REFERENCIA,RUPAFIN 10MG 10 COMP 101 CX
SANDALIA,SANDALIA BEIRA MAR AGATA PRETO - 01 PR
REFRIGERANTE,REF COCA 2000ML PET SABOR FANTA UVA
CHA,CAPSULA TRES CHA CAPIM CIDREIRA 10X2,5 CTC
UTENSILIO PARA O LAR,ESPATULA TRAMONTINA N12 CABO PLASTICO
UTENSILIO DE LIMPEZA,ESPONJA LA ACO ASSOLAN ORIG FILME FLEX 10X14X8UN 60G FD
CORPO,CETAPHIL RESTORADERM LOCAO H FR
MATERIAL PARA ESCRITORIO E ESCOLAR,ALMOFADA CARIMBO PILOT N.2 09 X 06 AZUL
SIMILAR,ALLESTRA 7530MCG 21 COMP 104 CX
GENERICO,PANTOPRAZOL 40MG CPR 1X14 EMS-GENERICO CX
VERMOUTH,APERITIVO CYNAR 900ML
CARNE DE PEIXE,SARDINHA GOMES COSTA 125G TOMATE
PRODUTO DESCARTAVEL,PAPEL ALUMINIO TERMICA 4MX30CM
CORPO,SABONETE ANTI-SEPTICO ASEPLYNE 2 LTS
REFRIGERANTE,REFRI COCA COLA 1L PET CX
FRUTA,CAJARANA GNEL KG 1
SIMILAR,SUPRADYN ATIVA 10CPR EFER BAYE CX
MATERIAL PARA CONSTRUCAO,TIJOLO VERMELHO C/8F 9X19X19
SIMILAR,DEXCLORFENIRAMINA 2MG C/20CPRS ( HYSTIN ) (GEOLA) CX
BISCOITO,BISC NESTLE NESFIT INTEGRAL 170G CX 50
REFERENCIA,AMARYL 2MG 30CPR SANO CX
FARINHA E AMIDO,FLOCAO 500GR C/30 VITAMILHO FD
ELETRODOMESTICO,MICROONDAS LG MS3044A 30L BCO EAYSCLEAN PC
LACTICINIO,LEITE CONDENSADO 395GR NESTLE**
LEITE,FORM INF NAN 2 PRO LTA 800G 1
CABELO,SPRAY LEAVE IN PROTECAO DA COR VINOTERAPIA 150ML
ESPUMANTE,ESPUMANTE MARIA VALDUGA BRUT 750ML
LACTICINIO,IOG NESTLE POLPA 540G TRISABOR
SIMILAR,PRO CALCIO B12 250ML
